GeneID,Symbol,Synonyms,chromosome,Ensembl,HGNC,MIM,type_of_gene
782,CACNB1,CAB1|CACNLB1|CCHLB1,17,ENSG00000067191,HGNC:1401,114207,protein-coding
783,CACNB2,CAB2|CACNLB2|CAVB2|MYSB,10,ENSG00000165995,HGNC:1402,600003,protein-coding
784,CACNB3,CAB3|CACNLB3,12,ENSG00000167535,HGNC:1403,601958,protein-coding
785,CACNB4,CAB4|CACNLB4|EA5|EIG9|EJM|EJM4|EJM6,2,ENSG00000182389,HGNC:1404,601949,protein-coding
786,CACNG1,CACNLG,17,ENSG00000108878,HGNC:1405,114209,protein-coding
788,SLC25A20,CAC|CACT,3,ENSG00000178537,HGNC:1421,613698,protein-coding
789,SLC25A20P1,CACTP|SLC25A20P,6,,HGNC:1422,,pseudo
790,CAD,CDG1Z|DEE50|EIEE50|GATD4,2,ENSG00000084774,HGNC:1424,114010,protein-coding
793,CALB1,CALB|D-28K,8,ENSG00000104327,HGNC:1434,114050,protein-coding
794,CALB2,CAB29|CAL2|CR,16,ENSG00000172137,HGNC:1435,114051,protein-coding
795,S100G,CABP|CABP1|CABP9K|CALB3,X,ENSG00000169906,HGNC:1436,302020,protein-coding
796,CALCA,CALC1|CGRP|CGRP-I|CGRP-alpha|CGRP1|CT|KC|PCT,11,ENSG00000110680,HGNC:1437,114130,protein-coding
797,CALCB,CALC2|CGRP-II|CGRP2,11,ENSG00000175868,HGNC:1438,114160,protein-coding
798,CALCP,CALC3,11,ENSG00000253179,HGNC:1439,,pseudo
799,CALCR,CRT|CT-R|CTR|CTR1,7,ENSG00000004948,HGNC:1440,114131,protein-coding
800,CALD1,CDM|H-CAD|HCAD|L-CAD|LCAD|NAG22|h-CD,7,ENSG00000122786,HGNC:1441,114213,protein-coding
801,CALM1,CALML2|CAM2|CAM3|CAMB|CAMC|CAMI|CAMIII|CPVT4|DD132|LQT14|PHKD|PHKD1|caM,14,ENSG00000198668,HGNC:1442,114180,protein-coding
802,CALM1P1,CALML1,X,ENSG00000223467,HGNC:1443,,pseudo
804,CALM1P2,-,7,,HGNC:1444,,pseudo
805,CALM2,CALM|CALML2|CAM1|CAM3|CAMC|CAMII|CAMIII|LQT15|PHKD|PHKD2|caM,2,ENSG00000143933,HGNC:1445,114182,protein-coding
806,CALM2P2,-,10,,HGNC:1447,,pseudo
807,CALM2P3,-,13,,HGNC:1448,,pseudo
808,CALM3,CALM|CAM1|CAM2|CAMB|CPVT6|CaM|CaMIII|HEL-S-72|LQT16|PHKD|PHKD3,19,ENSG00000160014,HGNC:1449,114183,protein-coding
810,CALML3,CLP,10,ENSG00000178363,HGNC:1452,114184,protein-coding
811,CALR,CALR1|CRT|HEL-S-99n|RO|SSA|cC1qR,19,ENSG00000179218,HGNC:1455,109091,protein-coding
813,CALU,-,7,ENSG00000128595,HGNC:1458,603420,protein-coding
814,CAMK4,CaMK IV|CaMK-GR|CaMKIV|caMK,5,ENSG00000152495,HGNC:1464,114080,protein-coding
815,CAMK2A,CAMKA|CaMKIINalpha|CaMKIIalpha|MRD53|MRT63,5,ENSG00000070808,HGNC:1460,114078,protein-coding
816,CAMK2B,CAM2|CAMK2|CAMKB|CaMKIIbeta|MRD54,7,ENSG00000058404,HGNC:1461,607707,protein-coding
817,CAMK2D,CAMKD,4,ENSG00000145349,HGNC:1462,607708,protein-coding
818,CAMK2G,CAMK|CAMK-II|CAMKG|MRD59,10,ENSG00000148660,HGNC:1463,602123,protein-coding
819,CAMLG,CAML|CDG2Z|GET2,5,ENSG00000164615,HGNC:1471,601118,protein-coding
820,CAMP,CAP-18|CAP18|CRAMP|FALL-39|FALL39|HSD26|LL37,3,ENSG00000164047,HGNC:1472,600474,protein-coding
821,CANX,CNX|IP90|P90,5,ENSG00000127022,HGNC:1473,114217,protein-coding
822,CAPG,AFCP|HEL-S-66|MCP,2,ENSG00000042493,HGNC:1474,153615,protein-coding
823,CAPN1,CANP|CANP1|CANPL1|SPG76|muCANP|muCL,11,ENSG00000014216,HGNC:1476,114220,protein-coding
824,CAPN2,CANP2|CANPL2|CANPml|mCANP,1,ENSG00000162909,HGNC:1479,114230,protein-coding
825,CAPN3,CANP3|CANPL3|LGMD2|LGMD2A|LGMDD4|LGMDR1|nCL-1|p94,15,ENSG00000092529,HGNC:1480,114240,protein-coding
826,CAPNS1,CALPAIN4|CANP|CANPS|CAPN4|CDPS|CSS1|PPH6,19,ENSG00000126247,HGNC:1481,114170,protein-coding
827,CAPN6,CANPX|CAPNX|CalpM|DJ914P14.1,X,ENSG00000077274,HGNC:1483,300146,protein-coding
828,CAPS,CAPS1,19,ENSG00000105519,HGNC:1487,114212,protein-coding
829,CAPZA1,CAPPA1|CAPZ|CAZ1,1,ENSG00000116489,HGNC:1488,601580,protein-coding
830,CAPZA2,CAPPA2|CAPZ,7,ENSG00000198898,HGNC:1490,601571,protein-coding
831,CAST,BS-17|MIR583HG|PLACK,5,ENSG00000310517,HGNC:1515,114090,protein-coding
832,CAPZB,CAPB|CAPPB|CAPZ,1,ENSG00000077549,HGNC:1491,601572,protein-coding
833,CARS1,CARS|CYSRS|MCDDBH|MDBH|MGC:11246,11,ENSG00000110619,HGNC:1493,123859,protein-coding
834,CASP1,ICE|IL1BC|P45,11,ENSG00000137752,HGNC:1499,147678,protein-coding
835,CASP2,CASP-2|ICH1|MRT80|NEDD-2|NEDD2|PPP1R57,7,ENSG00000106144,HGNC:1503,600639,protein-coding
836,CASP3,CPP32|CPP32B|SCA-1,4,ENSG00000164305,HGNC:1504,600636,protein-coding
837,CASP4,ICE(rel)II|ICEREL-II|ICH-2|Mih1|Mih1/TX|TX,11,ENSG00000196954,HGNC:1505,602664,protein-coding
838,CASP5,ICE(rel)III|ICEREL-III|ICH-3,11,ENSG00000137757,HGNC:1506,602665,protein-coding
839,CASP6,CSP-6|MCH2|caspase-6,4,ENSG00000138794,HGNC:1507,601532,protein-coding
840,CASP7,CASP-7|CMH-1|ICE-LAP3|LICE2|MCH3,10,ENSG00000165806,HGNC:1508,601761,protein-coding
841,CASP8,ALPS2B|CAP4|Casp-8|FLICE|MACH|MCH5,2,ENSG00000064012,HGNC:1509,601763,protein-coding
842,CASP9,APAF-3|APAF3|ICE-LAP6|MCH6|PPP1R56,1,ENSG00000132906,HGNC:1511,602234,protein-coding
843,CASP10,ALPS2|FLICE-2|FLICE2|MCH4,2,ENSG00000003400,HGNC:1500,601762,protein-coding
844,CASQ1,CASQ|CSQ1|PDIB1|VMCQA,1,ENSG00000143318,HGNC:1512,114250,protein-coding
845,CASQ2,PDIB2,1,ENSG00000118729,HGNC:1513,114251,protein-coding
846,CASR,CAR|EIG8|FHH|FIH|GPRC2A|HHC|HHC1|HYPOC1|NSHPT|PCAR1|hCasR,3,ENSG00000036828,HGNC:1514,601199,protein-coding
847,CAT,-,11,ENSG00000121691,HGNC:1516,115500,protein-coding
856,CATR1,-,7,,HGNC:1525,600676,ncRNA
857,CAV1,BSCL3|CGL3|LCCNS|MSTP085|PPH3|VIP21,7,ENSG00000105974,HGNC:1527,601047,protein-coding
858,CAV2,CAV,7,ENSG00000105971,HGNC:1528,601048,protein-coding
859,CAV3,LGMD1C|LQT9|MPDT|RMD2|VIP-21|VIP21,3,ENSG00000182533,HGNC:1529,601253,protein-coding
860,RUNX2,AML3|CBF-alpha-1|CBFA1|CCD|CCD1|CLCD|OSF-2|OSF2|PEA2aA|PEBP2aA,6,ENSG00000124813,HGNC:10472,600211,protein-coding
861,RUNX1,AML1|AML1-EVI-1|AMLCR1|CBF2alpha|CBFA2|EVI-1|PEBP2aB|PEBP2alpha,21,ENSG00000159216,HGNC:10471,151385,protein-coding
862,RUNX1T1,AML1-MTG8|AML1T1|CBFA2T1|CDR|ETO|MTG8|ZMYND2,8,ENSG00000079102,HGNC:1535,133435,protein-coding
863,CBFA2T3,ETO2|MTG16|MTGR2|RUNX1T3|ZMYND4,16,ENSG00000129993,HGNC:1537,603870,protein-coding
864,RUNX3,AML2|CBFA3|PEBP2aC,1,ENSG00000020633,HGNC:10473,600210,protein-coding
865,CBFB,CLCD2|PEBP2B,16,ENSG00000067955,HGNC:1539,121360,protein-coding
866,SERPINA6,CBG,14,ENSG00000170099,HGNC:1540,122500,protein-coding
867,CBL,C-CBL|CBL2|FRA11B|NSLL|RNF55,11,ENSG00000110395,HGNC:1541,165360,protein-coding
868,CBLB,ADMIO3|Cbl-b|Nbla00127|RNF56,3,ENSG00000114423,HGNC:1542,604491,protein-coding
869,CBLN1,-,16,ENSG00000102924,HGNC:1543,600432,protein-coding
871,SERPINH1,AsTP3|CBP1|CBP2|HSP47|OI10|PIG14|PPROM|RA-A47|SERPINH2|gp46,11,ENSG00000149257,HGNC:1546,600943,protein-coding
873,CBR1,CBR|PG-9-KR|SDR21C1|hCBR1,21,ENSG00000159228,HGNC:1548,114830,protein-coding
874,CBR3,HEL-S-25|SDR21C2|hCBR3,21,ENSG00000159231,HGNC:1549,603608,protein-coding
875,CBS,CBSL|HIP4,21,ENSG00000160200,HGNC:1550,613381,protein-coding
878,CCA1,CTRCT7,17,,,115660,unknown
881,CCIN,BTBD20|KBTBD14|SPGF91,9,ENSG00000185972,HGNC:1568,603960,protein-coding
882,CCAL1,CPDD,8,,,600668,unknown
883,KYAT1,CCBL1|GTK|KAT1|KATI,9,ENSG00000171097,HGNC:1564,600547,protein-coding
885,CCK,-,3,ENSG00000187094,HGNC:1569,118440,protein-coding
886,CCKAR,CCK-1R|CCK-A|CCK1-R|CCK1R|CCKRA,4,ENSG00000163394,HGNC:1570,118444,protein-coding
887,CCKBR,CCK-2R|CCK-B|CCK2R|GASR,11,ENSG00000110148,HGNC:1571,118445,protein-coding
889,KRIT1,CAM|CCM1,7,ENSG00000001631,HGNC:1573,604214,protein-coding
890,CCNA2,CCN1|CCNA,4,ENSG00000145386,HGNC:1578,123835,protein-coding
891,CCNB1,CCNB,5,ENSG00000134057,HGNC:1579,123836,protein-coding
892,CCNC,CycC|SRB11|hSRB11,6,ENSG00000112237,HGNC:1581,123838,protein-coding
894,CCND2,KIAK0002|MPPH3,12,ENSG00000118971,HGNC:1583,123833,protein-coding
895,CCND2P1,CCND2P,11,,HGNC:1584,,pseudo
896,CCND3,-,6,ENSG00000112576,HGNC:1585,123834,protein-coding
897,CCND3P1,CCND3P,10,ENSG00000224473,HGNC:1586,,pseudo
898,CCNE1,CCNE|pCCNE1,19,ENSG00000105173,HGNC:1589,123837,protein-coding
899,CCNF,FBX1|FBXO1|FTDALS5,16,ENSG00000162063,HGNC:1591,600227,protein-coding
900,CCNG1,CCNG,5,ENSG00000113328,HGNC:1592,601578,protein-coding
901,CCNG2,-,4,ENSG00000138764,HGNC:1593,603203,protein-coding
902,CCNH,CAK|CycH|p34|p37,5,ENSG00000134480,HGNC:1594,601953,protein-coding
904,CCNT1,CCNT|CYCT1|HIVE1,12,ENSG00000129315,HGNC:1599,143055,protein-coding
905,CCNT2,CYCT2,2,ENSG00000082258,HGNC:1600,603862,protein-coding
908,CCT6A,CCT-zeta|CCT-zeta-1|CCT6|Cctz|HTR3|MoDP-2|TCP-1-zeta|TCP20|TCPZ|TTCP20,7,ENSG00000146731,HGNC:1620,104613,protein-coding
909,CD1A,CD1|FCB6|HTA1|R4|T6,1,ENSG00000158477,HGNC:1634,188370,protein-coding
910,CD1B,CD1|CD1A|R1,1,ENSG00000158485,HGNC:1635,188360,protein-coding
911,CD1C,BDCA1|CD1|CD1A|R7,1,ENSG00000158481,HGNC:1636,188340,protein-coding
912,CD1D,CD1A|R3|R3G1,1,ENSG00000158473,HGNC:1637,188410,protein-coding
913,CD1E,CD1A|R2,1,ENSG00000158488,HGNC:1638,188411,protein-coding
914,CD2,LFA-2|SRBC|T11,1,ENSG00000116824,HGNC:1639,186990,protein-coding
915,CD3D,CD3-DELTA|CD3DELTA|IMD19|T3D,11,ENSG00000167286,HGNC:1673,186790,protein-coding
916,CD3E,CD3epsilon|IMD18|T3E|TCRE,11,ENSG00000198851,HGNC:1674,186830,protein-coding
917,CD3G,CD3-GAMMA|CD3GAMMA|IMD17|T3G,11,ENSG00000160654,HGNC:1675,186740,protein-coding
919,CD247,CD3-ZETA|CD3H|CD3Q|CD3Z|CD3ZETA|IMD25|T3Z|TCRZ,1,ENSG00000198821,HGNC:1677,186780,protein-coding
920,CD4,CD4mut|IMD79|Leu-3|OKT4D|T4,12,ENSG00000010610,HGNC:1678,186940,protein-coding
921,CD5,LEU1|T1,11,ENSG00000110448,HGNC:1685,153340,protein-coding
922,CD5L,AIM|API6|CT-2|PRO229|SP-ALPHA|Spalpha|hAIM,1,ENSG00000073754,HGNC:1690,602592,protein-coding
923,CD6,TP120,11,ENSG00000013725,HGNC:1691,186720,protein-coding
924,CD7,GP40|LEU-9|TP41|Tp40,17,ENSG00000173762,HGNC:1695,186820,protein-coding
925,CD8A,CD8|CD8alpha|IMD116|Leu2|p32,2,ENSG00000153563,HGNC:1706,186910,protein-coding
926,CD8B,CD8B1|CD8beta|LEU2|LY3|LYT3|Ly-3|P37,2,ENSG00000172116,HGNC:1707,186730,protein-coding
927,CD8B2,CD8BP,2,ENSG00000254126,HGNC:1708,,protein-coding
928,CD9,BTCC-1|DRAP-27|MIC3|MRP-1|TSPAN-29|TSPAN29,12,ENSG00000010278,HGNC:1709,143030,protein-coding
929,CD14,-,5,ENSG00000170458,HGNC:1628,158120,protein-coding
930,CD19,B4|CVID3,16,ENSG00000177455,HGNC:1633,107265,protein-coding
931,MS4A1,B1|Bp35|CD20|CVID5|FMC7|LEU-16|S7,11,ENSG00000156738,HGNC:7315,112210,protein-coding
932,MS4A3,CD20L|HTM4,11,ENSG00000149516,HGNC:7317,606498,protein-coding
933,CD22,SIGLEC-2|SIGLEC2,19,ENSG00000012124,HGNC:1643,107266,protein-coding
935,CD24P1,CD24L1,1,,HGNC:1646,,pseudo
936,CD24P2,CD24L2,15,,HGNC:1647,,pseudo
937,CD24P3,CD24L3,20,,HGNC:1648,,pseudo
938,CD24P4,CD24L4,Y,,HGNC:1649,,pseudo
939,CD27,S152|S152. LPFS2|T14|TNFRSF7|Tp55,12,ENSG00000139193,HGNC:11922,186711,protein-coding
940,CD28,IMD123|Tp44,2,ENSG00000178562,HGNC:1653,186760,protein-coding
941,CD80,B7|B7-1|B7.1|BB1|CD28LG|CD28LG1|LAB7,3,ENSG00000121594,HGNC:1700,112203,protein-coding
942,CD86,B7-2|B7.2|B70|CD28LG2|LAB72,3,ENSG00000114013,HGNC:1705,601020,protein-coding
943,TNFRSF8,CD30|D1S166E|Ki-1,1,ENSG00000120949,HGNC:11923,153243,protein-coding
944,TNFSF8,CD153|CD30L|CD30LG|TNLG3A,9,ENSG00000106952,HGNC:11938,603875,protein-coding
945,CD33,CD33rSiglec|SIGLEC-3|SIGLEC3|p67,19,ENSG00000105383,HGNC:1659,159590,protein-coding
946,SIGLEC6,CD327|CD33L|CD33L1|CD33L2|CDW327|OBBP1,19,ENSG00000105492,HGNC:10875,604405,protein-coding
947,CD34,-,1,ENSG00000174059,HGNC:1662,142230,protein-coding
948,CD36,BDPLT10|CHDS7|FAT|GP3B|GP4|GPIV|PASIV|SCARB3,7,ENSG00000135218,HGNC:1663,173510,protein-coding
949,SCARB1,CD36L1|CLA-1|CLA1|HDLCQ6|HDLQTL6|SR-BI|SRB1,12,ENSG00000073060,HGNC:1664,601040,protein-coding
950,SCARB2,AMRF|CD36L2|EPM4|HLGP85|LGP85|LIMP-2|LIMPII|SR-BII,4,ENSG00000138760,HGNC:1665,602257,protein-coding
951,CD37,GP52-40|TSPAN26,19,ENSG00000104894,HGNC:1666,151523,protein-coding
952,CD38,ADPRC 1|ADPRC1|cADPR1,4,ENSG00000004468,HGNC:1667,107270,protein-coding
953,ENTPD1,ATP-DPH|ATPDase|CD39|NTPDase-1|SPG64,10,ENSG00000138185,HGNC:3363,601752,protein-coding
954,ENTPD2,CD39L1|NTPDase-2,9,ENSG00000054179,HGNC:3364,602012,protein-coding
955,ENTPD6,CD39L2|IL-6SAG|IL6ST2|NTPDase-6|dJ738P15.3,20,ENSG00000197586,HGNC:3368,603160,protein-coding
956,ENTPD3,CD39L3|HB6|NTPDase-3,3,ENSG00000168032,HGNC:3365,603161,protein-coding
957,ENTPD5,CD39L4|NTPDase-5|PCPH,14,ENSG00000187097,HGNC:3367,603162,protein-coding
958,CD40,Bp50|CDW40|TNFRSF5|p50,20,ENSG00000101017,HGNC:11919,109535,protein-coding
959,CD40LG,CD154|CD40L|HIGM1|IGM|IMD3|T-BAM|TNFSF5|TRAP|gp39|hCD40L,X,ENSG00000102245,HGNC:11935,300386,protein-coding
960,CD44,CDW44|CSPG8|ECM-III|ECMR-III|H-CAM|HCELL|HUTCH-1|HUTCH-I|Hermes-1|IN|LHR|MC56|MDU2|MDU3|MIC4|Pgp1,11,ENSG00000026508,HGNC:1681,107269,protein-coding
961,CD47,IAP|MER6|OA3,3,ENSG00000196776,HGNC:1682,601028,protein-coding
962,CD48,BCM1|BLAST|BLAST1|MEM-102|SLAMF2|hCD48|mCD48,1,ENSG00000117091,HGNC:1683,109530,protein-coding
963,CD53,MOX44|TSPAN25,1,ENSG00000143119,HGNC:1686,151525,protein-coding
965,CD58,LFA-3|LFA3|ag3,1,ENSG00000116815,HGNC:1688,153420,protein-coding
966,CD59,16.3A5|1F5|EJ16|EJ30|EL32|G344|HRF-20|HRF20|MAC-IP|MACIF|MEM43|MIC11|MIN1|MIN2|MIN3|MIRL|MSK21|p18-20,11,ENSG00000085063,HGNC:1689,107271,protein-coding
967,CD63,AD1|HOP-26|ME491|MLA1|OMA81H|Pltgp40|TSPAN30,12,ENSG00000135404,HGNC:1692,155740,protein-coding
968,CD68,GP110|LAMP4|SCARD1,17,ENSG00000129226,HGNC:1693,153634,protein-coding
969,CD69,AIM|BL-AC/P26|CLEC2C|EA1|GP32/28|MLR-3,12,ENSG00000110848,HGNC:1694,107273,protein-coding
970,CD70,CD27-L|CD27L|CD27LG|LPFS3|TNFSF7|TNLG8A,19,ENSG00000125726,HGNC:11937,602840,protein-coding
971,CD72,CD72b|LYB2,9,ENSG00000137101,HGNC:1696,107272,protein-coding
972,CD74,CLIP|DHLAG|HLADG|II|Ia-GAMMA|p33,5,ENSG00000019582,HGNC:1697,142790,protein-coding
973,CD79A,IGA|IGAlpha|MB-1|MB1,19,ENSG00000105369,HGNC:1698,112205,protein-coding
974,CD79B,AGM6|B29|IGB|Igbeta,17,ENSG00000007312,HGNC:1699,147245,protein-coding
975,CD81,CVID6|S5.7|TAPA1|TSPAN28,11,ENSG00000110651,HGNC:1701,186845,protein-coding
976,ADGRE5,CD97|TM7LN1,19,ENSG00000123146,HGNC:1711,601211,protein-coding
977,CD151,EBS7|GP27|MER2|PETA-3|RAPH|SFA1|TSPAN24,11,ENSG00000177697,HGNC:1630,602243,protein-coding
978,CDA,CDD,1,ENSG00000158825,HGNC:1712,123920,protein-coding
983,CDK1,CDC2|CDC28A|P34CDC2,10,ENSG00000170312,HGNC:1722,116940,protein-coding
984,CDK11B,CDC2L1|CDK11|CDK11-p110|CDK11-p46|CDK11-p58|CLK-1|PITSLREA|PK58|p58|p58CDC2L1|p58CLK-1,1,ENSG00000248333,HGNC:1729,176873,protein-coding
987,LRBA,BGL|CDC4L|CVID8|LAB300|LBA|uc.147,4,ENSG00000198589,HGNC:1742,606453,protein-coding
988,CDC5L,CDC5|CDC5-LIKE|CEF1|PCDC5RP|dJ319D22.1,6,ENSG00000096401,HGNC:1743,602868,protein-coding
989,SEPTIN7,CDC10|CDC3|NBLA02942|SEPT7|SEPT7A|Septin-7,7,ENSG00000122545,HGNC:1717,603151,protein-coding
990,CDC6,CDC18L|HsCDC18|HsCDC6|MGORS5,17,ENSG00000094804,HGNC:1744,602627,protein-coding
991,CDC20,CDC20A|OOMD14|OZEMA14|bA276H19.3|p55CDC,1,ENSG00000117399,HGNC:1723,603618,protein-coding
993,CDC25A,CDC25A2,3,ENSG00000164045,HGNC:1725,116947,protein-coding
994,CDC25B,-,20,ENSG00000101224,HGNC:1726,116949,protein-coding
995,CDC25C,CDC25|PPP1R60,5,ENSG00000158402,HGNC:1727,157680,protein-coding
996,CDC27,ANAPC3|APC3|CDC27Hs|D0S1430E|D17S978E|H-NUC|HNUC|NUC2,17,ENSG00000004897,HGNC:1728,116946,protein-coding
997,CDC34,E2-CDC34|UBC3|UBCH3|UBE2R1,19,ENSG00000099804,HGNC:1734,116948,protein-coding
998,CDC42,CDC42Hs|G25K|TKS,1,ENSG00000070831,HGNC:1736,116952,protein-coding
999,CDH1,Arc-1|BCDS1|CD324|CDHE|ECAD|LCAM|UVO,16,ENSG00000039068,HGNC:1748,192090,protein-coding
1000,CDH2,ACOGS|ADHD8|ARVD14|CD325|CDHN|CDw325|NCAD,18,ENSG00000170558,HGNC:1759,114020,protein-coding
1001,CDH3,CDHP|HJMD|PCAD,16,ENSG00000062038,HGNC:1762,114021,protein-coding
1002,CDH4,CAD4|R-CAD|RCAD,20,ENSG00000179242,HGNC:1763,603006,protein-coding
1003,CDH5,7B4|CD144,16,ENSG00000179776,HGNC:1764,601120,protein-coding
1004,CDH6,CAD6|KCAD,5,ENSG00000113361,HGNC:1765,603007,protein-coding
1005,CDH7,CDH7L1,18,ENSG00000081138,HGNC:1766,605806,protein-coding
1006,CDH8,Nbla04261,16,ENSG00000150394,HGNC:1767,603008,protein-coding
1007,CDH9,-,5,ENSG00000113100,HGNC:1768,609974,protein-coding
1008,CDH10,-,5,ENSG00000040731,HGNC:1749,604555,protein-coding
1009,CDH11,CAD11|CDHOB|ESWS|OB|OSF-4|TBHS2,16,ENSG00000140937,HGNC:1750,600023,protein-coding
1010,CDH12,CDHB,5,ENSG00000154162,HGNC:1751,600562,protein-coding
1011,CDH12P2,C41-CAD|CDH12P,5,ENSG00000249230,HGNC:1752,,pseudo
1012,CDH13,CDHH|P105,16,ENSG00000140945,HGNC:1753,601364,protein-coding
1013,CDH15,CDH14|CDH3|CDHM|MCAD|MRD3,16,ENSG00000129910,HGNC:1754,114019,protein-coding
1014,CDH16,-,16,ENSG00000166589,HGNC:1755,603118,protein-coding
1015,CDH17,CDH16|HPT-1|HPT1,8,ENSG00000079112,HGNC:1756,603017,protein-coding
1016,CDH18,CDH14|CDH14L|CDH24,5,ENSG00000145526,HGNC:1757,603019,protein-coding
1017,CDK2,CDKN2|p33(CDK2),12,ENSG00000123374,HGNC:1771,116953,protein-coding
1018,CDK3,-,17,ENSG00000250506,HGNC:1772,123828,protein-coding
1019,CDK4,CMM3|PSK-J3,12,ENSG00000135446,HGNC:1773,123829,protein-coding
1020,CDK5,LIS7|PSSALRE,7,ENSG00000164885,HGNC:1774,123831,protein-coding
1021,CDK6,MCPH12|PLSTIRE,7,ENSG00000105810,HGNC:1777,603368,protein-coding
1022,CDK7,CAK|CAK1|CDKN7|HCAK|MO15|STK1|p39MO15,5,ENSG00000134058,HGNC:1778,601955,protein-coding
1024,CDK8,IDDHBA|K35,13,ENSG00000132964,HGNC:1779,603184,protein-coding
1025,CDK9,C-2k|CDC2L4|CTK1|PITALRE|TAK,9,ENSG00000136807,HGNC:1780,603251,protein-coding
1026,CDKN1A,CAP20|CDKN1|CIP1|MDA-6|P21|SDI1|WAF1|p21CIP1,6,ENSG00000124762,HGNC:1784,116899,protein-coding
1027,CDKN1B,CDKN4|KIP1|MEN1B|MEN4|P27KIP1,12,ENSG00000111276,HGNC:1785,600778,protein-coding
1028,CDKN1C,BWCR|BWS|KIP2|WBS|p57|p57Kip2,11,ENSG00000129757,HGNC:1786,600856,protein-coding
1029,CDKN2A,ARF|CAI2|CDK4I|CDKN2|CMM2|INK4|INK4A|MLM|MTS-1|MTS1|P14|P14ARF|P16|P16-INK4A|P16INK4|P16INK4A|P19|P19ARF|TP16,9,ENSG00000147889,HGNC:1787,600160,protein-coding
1030,CDKN2B,CDK4I|INK4B|MTS2|P15|TP15|p15INK4b,9,ENSG00000147883,HGNC:1788,600431,protein-coding
1031,CDKN2C,INK4C|p18|p18-INK4C,1,ENSG00000123080,HGNC:1789,603369,protein-coding
1032,CDKN2D,INK4D|p19|p19-INK4D,19,ENSG00000129355,HGNC:1790,600927,protein-coding
1033,CDKN3,CDI1|CIP2|KAP|KAP1,14,ENSG00000100526,HGNC:1791,123832,protein-coding
1036,CDO1,CDO-I,5,ENSG00000129596,HGNC:1795,603943,protein-coding
1038,CDR1,CDR|CDR34|CDR62A,X,,HGNC:1798,302650,unknown
1039,CDR2,CDR62|Yo,16,ENSG00000140743,HGNC:1799,117340,protein-coding
1040,CDS1,CDS 1,4,ENSG00000163624,HGNC:1800,603548,protein-coding
1041,CDSN,HTSS|HTSS1|HYPT2|PSS|PSS1,6,ENSG00000204539,HGNC:1802,602593,protein-coding
1043,CD52,CDW52|EDDM5|HE5,1,ENSG00000169442,HGNC:1804,114280,protein-coding
1044,CDX1,-,5,ENSG00000113722,HGNC:1805,600746,protein-coding
1045,CDX2,CDX-3|CDX2/AS|CDX3,13,ENSG00000165556,HGNC:1806,600297,protein-coding
1046,CDX4,-,X,ENSG00000131264,HGNC:1808,300025,protein-coding
1047,CLGN,-,4,ENSG00000153132,HGNC:2060,601858,protein-coding
1048,CEACAM5,CD66e|CEA,19,ENSG00000105388,HGNC:1817,114890,protein-coding
1050,CEBPA,C/EBP-alpha|CEBP,19,ENSG00000245848,HGNC:1833,116897,protein-coding
1051,CEBPB,C/EBP-beta|IL6DBP|NF-IL6|TCF5,20,ENSG00000172216,HGNC:1834,189965,protein-coding
1052,CEBPD,C/EBP-delta|CELF|CRP3|NF-IL6-beta,8,ENSG00000221869,HGNC:1835,116898,protein-coding
1053,CEBPE,C/EBP-epsilon|CRP1|IMD108|SGD1|c/EBP epsilon,14,ENSG00000092067,HGNC:1836,600749,protein-coding
1054,CEBPG,GPE1BP|IG/EBP-1,19,ENSG00000153879,HGNC:1837,138972,protein-coding
1055,CECR,CES,22,,HGNC:1838,115470,other
1056,CEL,BAL|BSDL|BSSL|CELL|CEase|FAP|FAPP|LIPA|MODY8,9,ENSG00000170835,HGNC:1848,114840,protein-coding
1057,CELP,CELL|cell1|cell2|cell3,9,ENSG00000170827,HGNC:1849,,pseudo
1058,CENPA,CENP-A|CenH3,2,ENSG00000115163,HGNC:1851,117139,protein-coding
1059,CENPB,-,20,ENSG00000125817,HGNC:1852,117140,protein-coding
1060,CENPC,CENP-C|CENPC1|MIF2|hcp-4,4,ENSG00000145241,HGNC:1854,117141,protein-coding
1061,CENPCP1,CENPC|CENPC1P1|CENPC2,12,ENSG00000226982,HGNC:1855,,pseudo
1062,CENPE,CENP-E|KIF10|MCPH13|PPP1R61,4,ENSG00000138778,HGNC:1856,117143,protein-coding
1063,CENPF,CENF|CILD31|PRO1779|STROMS|hcp-1,1,ENSG00000117724,HGNC:1857,600236,protein-coding
1066,CES1,ACAT|CE-1|CEH|CES2|HMSE|HMSE1|PCE-1|REH|SES1|TGH|hCE-1,16,ENSG00000198848,HGNC:1863,114835,protein-coding
1068,CETN1,CEN1|CETN,18,ENSG00000177143,HGNC:1866,603187,protein-coding
1069,CETN2,CALT|CEN2,X,ENSG00000147400,HGNC:1867,300006,protein-coding
1070,CETN3,CDC31|CEN3,5,ENSG00000153140,HGNC:1868,602907,protein-coding
1071,CETP,BPIFF|HDLCQ10,16,ENSG00000087237,HGNC:1869,118470,protein-coding
1072,CFL1,CFL|HEL-S-15|cofilin,11,ENSG00000172757,HGNC:1874,601442,protein-coding
1073,CFL2,NEM7,14,ENSG00000165410,HGNC:1875,601443,protein-coding
1074,CFL1P5,CFLL1|CFLP5,5,,HGNC:1877,,pseudo
